Age,Length of service,Working hours,Overtime working hours,Salary,Overtime pay,Bonus,Number of workers,Occupation
40.9,11.4,169,12,32.55,3.16,46.57,"14,680",Carpenter
43.2,11.4,169,13,34.68,3.06,71.19,"62,960",Plumber
43.5,11,170,15,31.52,3.09,44.26,"67,830",Other construction worker
39.8,12.1,167,19,34.17,4.63,97.51,"149,580",Electrician
45.5,9.2,166,10,29.85,2.28,39.67,"175,080","Civil engineering workers, railroad track construction workers"
48.3,12.2,169,15,33.31,3.51,54.03,"4,360","Dam and tunnel excavators, miners"
41.7,15.5,152,33,40.76,9.73,103.13,"44,870",Onboard/coastal cargo handlers
46.2,10.6,166,15,27.57,2.92,45.36,"581,160",Other transport workers
53.5,8.9,162,6,20.96,1.05,17.07,"124,510",Building and building cleaners
48.5,10,166,8,27.1,1.90,45.98,"136,020","Cleaners (except building cleaners), waste disposal workers"
45.5,9.5,162,8,22.36,1.37,27.44,"60,870",Packaging workers
49.1,9.5,164,11,24.11,2.09,32.77,"122,510","Transportation, cleaning, packaging, etc. not elsewhere classified"
42.7,19.9,160,9,40.72,2.48,136.70,"5,580",N/A
